code,mean,map,pre,rec,f1
SetGimbalTargetCommand,0.7618009328842164,0.2,0.2,0.5,0.28571428571428575
PVector,0.7436068505048752,0,0,0,0
DroneMonitoringServiceRemoteFacade,0.7340573072433472,0.25,0.25,1.0,0.4
IManagedDroneStateChangeListener,0.7329827745755514,0,0,0,0
WaypointTask,0.7779570732797895,0,0,0,0
TakeoffCommand,0.7575128773848215,0,0,0,0
VaadinUIMapConstants,0.7318213880062103,0,0,0,0
IDroneMonitoringServiceInstance,0.7435360193252564,0.45,0.4,1.0,0.5714285714285715
CollisionInfo,0.7550338506698608,0,0,0,0
DroneConnectorService,0.7275294959545135,0,0,0,0
SetGroundSpeedCommand,0.7871379852294922,0,0,0,0
NVector,0.7408889979124069,0,0,0,0
SendToSubscriberCallable,0.740433931350708,0.3333333333333333,0.16666666666666666,1.0,0.2857142857142857
IDroneMonitoringRemoteService,0.7331337928771973,0.5,0.2,1.0,0.33333333333333337
SimpleMonitor,0.7477185428142548,0,0,0,0
SynchronizationPoint,0.7371960639953613,0.25,0.2,1.0,0.33333333333333337
ReadDispatcher,0.7524049282073975,0,0,0,0
GroundstationConnector,0.754151980082194,0,0,0,0
LlaCoordinate,0.7743251522382101,1.0,0.16666666666666666,0.3333333333333333,0.2222222222222222
DistanceChecker,0.7267066538333893,0,0,0,0
DroneFleetManager,0.7438322504361471,1.0,0.3333333333333333,0.125,0.18181818181818182
FRControlsComponent,0.7717773829187665,0.2,0.14285714285714285,0.3333333333333333,0.2
MyUI,0.7346472995621818,0.41666666666666663,0.2857142857142857,0.2857142857142857,0.2857142857142857
UAVProxy,0.7904783487319946,0,0,0,0
IStartstrategy,0.7295157710711161,0,0,0,0
PatternTask,0.7404484550158182,1.0,0.3333333333333333,1.0,0.5
FRTableDisplay,0.7498140235741934,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.2222222222222222
SyncTask,0.7398380041122437,1.0,0.125,1.0,0.2222222222222222
IMissionPlan,0.7909306089083353,0.5,0.3333333333333333,0.5,0.4
IUAVProxy,0.7818780938784281,0,0,0,0
MonitoringDispatchThread,0.7527992924054464,0.5,0.1111111111111111,1.0,0.19999999999999998
IDrone,0.817633330821991,0,0,0,0
AFEmergencyComponent,0.7926197797060013,1.0,0.25,0.3333333333333333,0.28571428571428575
LandingStrategy,0.8412113388379415,0,0,0,0
DronologyServiceRunner,0.7356744309266409,0.25,0.16666666666666666,0.2,0.1818181818181818
NVECSimulator,0.7852134853601456,0.25,0.25,0.5,0.3333333333333333
NvecInterpolator,0.7756731907526652,0,0,0,0
JSONMissionPlanReader,0.756581153188433,1.0,0.14285714285714285,1.0,0.25
DronologyConstants,0.7282371520996094,0,0,0,0
CoordinatedTakeoffPattern,0.7937912344932556,0,0,0,0
EmergencyStopCommand,0.8219340840975443,0,0,0,0
WriteDispatcher,0.7528303861618042,0,0,0,0
CoordinatedLandingPattern,0.7810419350862503,0,0,0,0
FlyingFieldDemoScript,0.7467677394549052,0,0,0,0
AFMapViewOperations,0.8255446553230286,0,0,0,0
VirtualDrone,0.7503158516354032,0.7777777777777778,0.3333333333333333,0.3,0.3157894736842105
AFControlsComponent,0.8431102335453033,0.3333333333333333,0.25,1.0,0.4
DroneFlightStateManager,0.7380945086479187,0,0,0,0
IMovementSimulator,0.7652185360590616,0,0,0,0
LandTask,0.813067764043808,0,0,0,0
TakeoffTask,0.7948346734046936,0,0,0,0
MissionHandler,0.7256453633308411,0,0,0,0
AFMainLayout,0.8265538811683655,1.0,1.0,0.2857142857142857,0.4444444444444445
FRMetaInfo,0.7381803914904594,0.26666666666666666,0.25,0.6666666666666666,0.36363636363636365
SyncConstants,0.7932003140449524,0,0,0,0
AssignedDrone,0.7655197779337565,0,0,0,0
RouteTask,0.8171237468719482,0,0,0,0
SimpleSimulator,0.7361583635210991,0.3333333333333333,0.125,0.3333333333333333,0.18181818181818182
SetStateFrequencyCommand,0.7284531146287918,0,0,0,0
IDroneCommand,0.7346047858397166,0,0,0,0
FlightRouteplanningService,0.730848471323649,0.8055555555555555,0.5,1.0,0.6666666666666666
NavigationBar,0.7737866789102554,0.2,0.125,1.0,0.2222222222222222
RemindsConnector,0.7585989038149515,0,0,0,0
Configuration,0.7234110832214355,0.5,0.5,0.3333333333333333,0.4
IMissionTask,0.7787445882956187,0,0,0,0
IPlanStatusChangeListener,0.7829180806875229,0,0,0,0
DroneInitializationInfo,0.780489131808281,0,0,0,0
DispatchQueueManager,0.7583298206329345,0,0,0,0
TakeoffAltitudeWindow,0.7751728534698487,0,0,0,0
LandCommand,0.792960062623024,0,0,0,0
SynchronizationManager,0.7737459063529968,0,0,0,0
IDroneSetupServiceInstance,0.7920233011245728,0,0,0,0
FlightSimulator,0.8041032155354818,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333
IDroneCommandHandler,0.7752861976623535,0,0,0,0
AFFollowBar,0.7745319157838821,0.25,0.125,1.0,0.2222222222222222
IStopStrategy,0.7619757056236267,0,0,0,0
FRMapComponent,0.7747308810551962,0,0,0,0
ImageProvider,0.8046385496854782,0,0,0,0
AFMapComponent,0.8071480592091879,0.6333333333333333,0.5,0.3,0.37499999999999994
Waypoint,0.7998598899160113,0.5,0.2857142857142857,0.5,0.36363636363636365
FlightInfoCreator,0.8011760314305624,1.0,0.3333333333333333,0.25,0.28571428571428575
IFlightRouteplanningServiceInstance,0.788976788520813,1.0,0.5,0.5,0.5
MissionPlan,0.7669832408428192,1.0,0.25,0.5,0.3333333333333333
DroneSetupServiceRemoteFacade,0.7698304653167725,0,0,0,0
CommandIds,0.8052297592163086,0,0,0,0
AFInfoPanel,0.7855170965194702,0.4444444444444444,0.5,0.6,0.5454545454545454
MissionPlanningServiceInstance,0.7973945041497549,1.0,0.16666666666666666,0.5,0.25
MissionPlanningServiceRemoteFacade,0.7825457255045573,0,0,0,0
