code,mean,map,pre,rec,f1
DroneMonitoringServiceInstance,0.7671327516436577,1.0,0.25,1.0,0.4
MyUI,0.7422238349914552,0.6428571428571429,0.3333333333333333,0.42857142857142855,0.375
DroneMonitoringService,0.8462020874023437,1.0,1.0,1.0,1.0
AFEmergencyComponent,0.7637410365045071,0.5,0.125,0.3333333333333333,0.18181818181818182
IRemoteManager,0.7285927280783654,0,0,0,0
DistanceChecker,0.7552369736135006,0,0,0,0
DispatchQueueManager,0.7756438645032737,0.3333333333333333,0.07692307692307693,0.2,0.1111111111111111
NVECSimulator,0.7727243831524481,0.1111111111111111,0.07692307692307693,0.5,0.13333333333333336
FlightRoute,0.8582465034264786,0.7222222222222222,0.23076923076923078,1.0,0.375
VaadinUIMapConstants,0.7511596035957335,0,0,0,0
IDroneMonitoringServiceInstance,0.7675432717800141,0.8333333333333333,0.4,1.0,0.5714285714285715
DroneMonitoringServiceRemoteFacade,0.735822148124377,0.5,0.16666666666666666,1.0,0.2857142857142857
AFMapViewOperations,0.789574177397622,0,0,0,0
IMonitoringDataHandler,0.7904631455739338,1.0,0.3333333333333333,1.0,0.5
SendToSubscriberCallable,0.7437860846519471,0.25,0.2,1.0,0.33333333333333337
RemoteRMIRemoteObject,0.6897104978561401,0,0,0,0
SetGimbalTargetCommand,0.7459192156791687,0.25,0.125,0.5,0.2
DronologyMonitoringManager,0.7694067120552063,0.5,0.3333333333333333,1.0,0.5
SimpleMonitor,0.7356281854212283,0,0,0,0
CollisionInfo,0.7419800549745559,0,0,0,0
LayerDescriptor,0.7333442370096842,0,0,0,0
PVector,0.775529055595398,0,0,0,0
GroundstationConnector,0.7481533760825793,0.125,0.08333333333333333,0.2,0.11764705882352941
FlightSimulator,0.7655190380719991,0.25,0.07692307692307693,0.3333333333333333,0.125
ReadDispatcher,0.7491407359639805,0,0,0,0
DroneSetupServiceInstance,0.7813717191418011,0.26666666666666666,0.16666666666666666,0.3333333333333333,0.2222222222222222
IManagedDroneStateChangeListener,0.7356212337811788,0,0,0,0
IUAVProxy,0.7640826290304011,0,0,0,0
AFMapComponent,0.7974885491224435,0.8333333333333334,0.23076923076923078,0.3,0.2608695652173913
SynchronizationState,0.6960003781318665,0,0,0,0
IDroneMonitoringRemoteService,0.7256700617074967,1.0,0.1,1.0,0.18181818181818182
WaypointTask,0.7983555724223456,0,0,0,0
Configuration,0.732121459643046,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
GoToCommand,0.7391718804836274,0,0,0,0
DroneConnectorService,0.7161650427750178,0,0,0,0
FRControlsComponent,0.7601079991885593,0.2,0.14285714285714285,0.3333333333333333,0.2
LlaCoordinate,0.8141285562515259,1.0,0.2,0.3333333333333333,0.25
ServiceIds,0.8152097642421723,1.0,0.07142857142857142,1.0,0.13333333333333333
UAVProxy,0.7983364976369418,0,0,0,0
RuntimeDroneTypes,0.7155974282158746,0,0,0,0
UAVMissionPlan,0.7874133348464966,1.0,0.06666666666666667,1.0,0.125
IDrone,0.769315753877163,0,0,0,0
FRMapComponent,0.7714270558622149,0.41666666666666663,0.2222222222222222,0.3333333333333333,0.26666666666666666
FileManager,0.7215893745422363,0,0,0,0
IDroneSetupServiceInstance,0.7534757381135766,0.09090909090909091,0.09090909090909091,0.25,0.13333333333333333
StatusDispatchThread,0.7610495140919318,0,0,0,0
IMissionPlan,0.7795553856425816,1.0,0.1111111111111111,0.5,0.1818181818181818
RemindsConnector,0.7692138301474707,0.07142857142857142,0.07142857142857142,1.0,0.13333333333333333
TakeoffCommand,0.7509638215814318,0,0,0,0
FRTableDisplay,0.7536910216013591,0.2,0.08333333333333333,0.3333333333333333,0.13333333333333333
VirtualDrone,0.7666670365767044,0.3333333333333333,0.09090909090909091,0.1,0.09523809523809525
MonitoringDispatchThread,0.7534221128983932,0.5,0.09090909090909091,1.0,0.16666666666666669
JSONMissionPlanReader,0.7737454007069271,1.0,0.16666666666666666,1.0,0.2857142857142857
PhysicalDrone,0.778331907895895,0.25,0.07692307692307693,0.09090909090909091,0.08333333333333334
AssignedDrone,0.7763659948652442,0.1111111111111111,0.09090909090909091,1.0,0.16666666666666669
IDroneCommand,0.7467099319804799,0,0,0,0
IMovementSimulator,0.7714776332179706,0,0,0,0
MissionPlanningServiceRemoteFacade,0.7873067430087498,0,0,0,0
MissionController,0.7637774174863643,0.45,0.18181818181818182,1.0,0.3076923076923077
FRInfoPanel,0.7911108537153765,1.0,0.09090909090909091,0.25,0.13333333333333333
AFInfoBox,0.7840231166436121,0.18333333333333335,0.15384615384615385,0.25,0.1904761904761905
IDroneSetupRemoteService,0.7590202351411183,0.1388888888888889,0.16666666666666666,0.4,0.23529411764705882
CoordinatedLandingPattern,0.7925997688220098,0,0,0,0
MissionPlan,0.7755723148584366,1.0,0.1,0.5,0.16666666666666669
DroneFleetManager,0.7529907204210758,0.8055555555555555,0.375,0.375,0.375
FRMetaInfo,0.75418578253852,0.24285714285714285,0.2222222222222222,0.6666666666666666,0.3333333333333333
AFInfoPanel,0.7972990852135877,0.5845238095238094,0.3076923076923077,0.8,0.4444444444444444
NVector,0.7354733720421791,0,0,0,0
CoordinatedTakeoffPattern,0.8003353585799534,0,0,0,0
FlightManagerServiceRemoteFacade,0.8700596829255424,0.125,0.06666666666666667,0.125,0.08695652173913045
DroneSetupService,0.7960195741483143,0.12692307692307692,0.14285714285714285,0.2857142857142857,0.19047619047619047
IFlightManagerServiceInstance,0.8562523353099822,0.15476190476190477,0.13333333333333333,0.25,0.1739130434782609
SoloDirector,0.8169915153430058,0.20192307692307693,0.15384615384615385,0.3333333333333333,0.21052631578947367
AFAssignRouteComponent,0.8058753022125789,0.6428571428571429,0.21428571428571427,0.75,0.3333333333333333
SynchronizationManager,0.8012688135107359,0,0,0,0
TaskList,0.7403161704540253,0.25,0.25,0.5,0.3333333333333333
ImageProvider,0.7606921727458635,0,0,0,0
FlyingFieldDemoScript,0.754949123209173,0.14285714285714285,0.09090909090909091,1.0,0.16666666666666669
DroneFlightStateManager,0.7463655555248261,0.2777777777777778,0.2,0.3333333333333333,0.25
Waypoint,0.8021923546280181,0.625,0.21428571428571427,0.75,0.3333333333333333
NavigationBar,0.752760186460283,0.2,0.1111111111111111,1.0,0.19999999999999998
FullMissionPlan,0.8044038286575902,0.5,0.15384615384615385,0.6666666666666666,0.25
SetGroundSpeedCommand,0.7529950900511309,0,0,0,0
Log4Jv2Logger,0.7254696776469549,1.0,0.16666666666666666,1.0,0.2857142857142857
ManagedDrone,0.8451190673387968,0,0,0,0
DroneConnectorServiceInstance,0.6974542737007141,0,0,0,0
SimpleSimulator,0.8000488549470901,0.07692307692307693,0.07142857142857142,0.3333333333333333,0.11764705882352941
IMissionTask,0.7720030206900378,0.14285714285714285,0.07692307692307693,0.5,0.13333333333333336
DroneInitializationInfo,0.7811342098496177,0.09090909090909091,0.09090909090909091,0.25,0.13333333333333333
FlightZoneManager2,0.8512423496979934,0.8555555555555555,0.46153846153846156,0.46153846153846156,0.46153846153846156
