code,mean,map,pre,rec,f1
IGestioneTuristaClient,0.8763518810272217,0.3666666666666667,0.4,0.3333333333333333,0.3636363636363636
IDBTurista,0.8784863203763962,0.9166666666666666,0.75,0.42857142857142855,0.5454545454545454
IGestioneTuristiAgenzia,0.8721526861190796,1.0,0.6666666666666666,0.4,0.5
GestioneTuristiAgenzia,0.8723544627428055,0.5,0.5,0.5,0.5
Turisti,0.8668969869613647,0.25,0.25,0.5,0.3333333333333333
BannerDialog,0.8537291387716929,0.8333333333333333,0.3333333333333333,1.0,0.5
BannerNode,0.8196796973546346,1.0,0.6666666666666666,1.0,0.8
BeanNews,0.8070900201797485,1.0,0.6,1.0,0.7499999999999999
Tag,0.8029476702213287,0,0,0,0
BeanMenu,0.8062616388003031,1.0,0.3333333333333333,0.5,0.4
BeanTag,0.7883432030677795,0.8333333333333333,0.4,1.0,0.5714285714285715
DBMenu,0.8311373889446259,1.0,0.5,0.5,0.5
Categoria,0.7703655958175659,0,0,0,0
FeedBackTableModel,0.7807694375514984,1.0,0.25,0.5,0.3333333333333333
BeanBanner,0.8611340125401815,1.0,1.0,0.8571428571428571,0.923076923076923
IGestioneTagComune,0.7795923352241516,0,0,0,0
GestioneTagOperatoreAgenzia,0.8069520235061646,1.0,0.6,1.0,0.7499999999999999
IDBTag,0.7948740422725677,1.0,0.5,1.0,0.6666666666666666
IGestioneTagOperatoreAgenzia,0.7949160635471344,1.0,0.16666666666666666,1.0,0.2857142857142857
GestioneTagComune,0.7727737824122111,0,0,0,0
CostantiGlobali,0.833355575799942,0,0,0,0
ControlloDatiAdvertisement,0.8190784156322479,1.0,1.0,0.2222222222222222,0.3636363636363636
News,0.821785144507885,1.0,0.25,1.0,0.4
IGestioneAdvertisement,0.8646680638194084,1.0,0.75,0.8571428571428571,0.7999999999999999
DBStatisticheLocalita,0.7798688809076945,0,0,0,0
IDBNews,0.8324458301067352,0.9166666666666666,0.5,1.0,0.6666666666666666
IDBBanner,0.8724243144194285,0.9666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334
GestioneAdvertisement,0.8890632887681326,1.0,1.0,1.0,1.0
PuntiDiRistoro,0.8438149392604828,0.5,0.5,1.0,0.6666666666666666
ControlloVisiteBeniCulturali,0.7968077858289083,1.0,0.3333333333333333,0.6666666666666666,0.4444444444444444
IDBConvenzione,0.785861536860466,1.0,0.125,0.3333333333333333,0.18181818181818182
BeanConvenzione,0.8027685284614563,1.0,1.0,0.3333333333333333,0.5
DBConvenzione,0.7692009011904398,0,0,0,0
DBPuntoDiRistoro,0.8682102262973785,0.5,0.5,0.25,0.3333333333333333
GestioneAdvertisementAgenzia,0.8420318841934205,1.0,0.6,0.5,0.5454545454545454
SitoTableModel,nan,0,0,0,0
DBBanner,0.8627606704831123,0.4444444444444444,0.375,0.75,0.5
DBNews,0.8045449342046466,0,0,0,0
IDBOperatorePuntoDiRistoro,0.7881707787513733,0,0,0,0
SchedaPR,0.8260774314403534,0,0,0,0
Banner,0.8662464448383876,0.9166666666666666,0.42857142857142855,1.0,0.6
GestioneBeniCulturaliAgenzia,0.793587863445282,1.0,1.0,0.6,0.7499999999999999
IDBPuntoDiRistoro,0.8558700879414877,0.5,0.3333333333333333,0.5,0.4
IGestioneBeniCulturaliComune,0.7919456859429678,1.0,0.16666666666666666,0.2,0.1818181818181818
BeanPuntoDiRistoro,0.8322910368442535,0,0,0,0
DBBeneCulturale,0.8143499419093132,0.8541666666666666,0.5,1.0,0.6666666666666666
IDBBeneCulturale,0.8023557066917419,0.25,0.1111111111111111,1.0,0.19999999999999998
OperatoreAgenzia,0.8120642304420471,0,0,0,0
IGestionePuntiDiRistoroComune,0.7991870939731598,0.5,0.5,0.16666666666666666,0.25
GestionePuntiDiRistoroComune,0.7715901255607605,1.0,0.2,0.14285714285714285,0.16666666666666666
IGestioneAdvertisementAgenzia,0.83016237616539,1.0,0.5,0.16666666666666666,0.25
BeanPreferenzaDiRicerca,0.81278195977211,0,0,0,0
BeanVisitaBC,0.7861848846077919,0.2,0.125,0.5,0.2
IGestioneBeniCulturaliAgenzia,0.8838064968585968,1.0,1.0,0.5,0.6666666666666666
IGestioneAdvertisementPuntoDiRistoro,0.8061639666557312,0,0,0,0
BeanVisitaPR,0.8213823338349661,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.2222222222222222
ControlloDati,0.7805352956056595,0.6388888888888888,0.75,0.16666666666666666,0.27272727272727276
BeanBeneCulturale,0.8220783770084381,1.0,0.5,0.16666666666666666,0.25
BeanOperatorePuntoDiRistoro,0.831499457359314,0.5,0.5,1.0,0.6666666666666666
IGestionePuntiDiRistoroAgenzia,0.8474690119425455,0.8333333333333333,0.6666666666666666,0.3333333333333333,0.4444444444444444
DBOperatoreAgenzia,0.7843518778681755,1.0,0.125,0.5,0.2
DBOperatorePuntoDiRistoro,0.776441650731223,0,0,0,0
IDBVisitaPR,0.8587253093719482,1.0,1.0,1.0,1.0
BeanOperatoreAgenzia,0.8475790321826935,0,0,0,0
DBPreferenzeDiRicerca,0.8067473471164703,0,0,0,0
SchedaBC,0.8436065713564554,0,0,0,0
BeniCulturali,0.8687819540500641,1.0,1.0,0.4,0.5714285714285715
DBVisitaBC,0.8520483374595642,0,0,0,0
DBVisitaPR,0.8466421067714691,0,0,0,0
GestioneAdvertisementPuntoDiRistoro,0.7681676864624023,0,0,0,0
IDBOperatoreAgenzia,0.837399959564209,1.0,0.5,1.0,0.6666666666666666
IRicerca,0.813488095998764,1.0,1.0,0.3333333333333333,0.5
IAutenticazione,0.8103196819623312,1.0,0.16666666666666666,0.5,0.25
GestioneBeniCulturaliComune,0.8491668105125427,0.5,0.5,0.25,0.3333333333333333
IDBVisitaBC,0.8605273167292277,0,0,0,0
Autenticazione,0.7810871079564095,0,0,0,0
TuristiTableModel,0.8828808267911276,0,0,0,0
DBTurista,0.8806087970733643,0.3333333333333333,0.3333333333333333,0.25,0.28571428571428575
IDBPreferenzeDiRicerca,0.8301502466201782,0.5,0.3333333333333333,1.0,0.5
BeanTurista,0.8960978090763092,1.0,1.0,0.2857142857142857,0.4444444444444445
GestioneTuristaComune,0.8943094809850057,1.0,1.0,0.5,0.6666666666666666
GestioneTuristaClient,0.8824988156557083,0.3333333333333333,0.25,0.25,0.25
IGestioneTuristaClient,0.8815275430679321,0.3333333333333333,0.25,0.16666666666666666,0.2
IDBTurista,0.885383665561676,1.0,0.6666666666666666,0.2857142857142857,0.4
IGestioneTuristiAgenzia,0.8920609652996063,1.0,1.0,0.4,0.5714285714285715
GestioneTuristiAgenzia,0.8805123766263326,0.5,0.3333333333333333,0.25,0.28571428571428575
Turisti,0.8731345931688944,0,0,0,0
BannerDialog,0.8537291387716929,0.8333333333333333,0.3333333333333333,1.0,0.5
BannerNode,0.8196796973546346,1.0,0.6666666666666666,1.0,0.8
BeanNews,0.8070900201797485,1.0,0.6,1.0,0.7499999999999999
Tag,0.8029476702213287,0,0,0,0
BeanMenu,0.8062616388003031,1.0,0.3333333333333333,0.5,0.4
BeanTag,0.7883432030677795,0.8333333333333333,0.4,1.0,0.5714285714285715
DBMenu,0.8311373889446259,1.0,0.5,0.5,0.5
Categoria,0.7703655958175659,0,0,0,0
FeedBackTableModel,0.7807694375514984,1.0,0.25,0.5,0.3333333333333333
BeanBanner,0.8611340125401815,1.0,1.0,0.8571428571428571,0.923076923076923
IGestioneTagComune,0.7795923352241516,0,0,0,0
GestioneTagOperatoreAgenzia,0.8069520235061646,1.0,0.6,1.0,0.7499999999999999
IDBTag,0.7948740422725677,1.0,0.5,1.0,0.6666666666666666
IGestioneTagOperatoreAgenzia,0.7949160635471344,1.0,0.16666666666666666,1.0,0.2857142857142857
GestioneTagComune,0.7727737824122111,0,0,0,0
CostantiGlobali,0.833355575799942,0,0,0,0
ControlloDatiAdvertisement,0.8190784156322479,1.0,1.0,0.2222222222222222,0.3636363636363636
News,0.821785144507885,1.0,0.25,1.0,0.4
IGestioneAdvertisement,0.8646680638194084,1.0,0.75,0.8571428571428571,0.7999999999999999
DBStatisticheLocalita,0.7798688809076945,0,0,0,0
IDBNews,0.8324458301067352,0.9166666666666666,0.5,1.0,0.6666666666666666
IDBBanner,0.8724243144194285,0.9666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334
GestioneAdvertisement,0.8890632887681326,1.0,1.0,1.0,1.0
PuntiDiRistoro,0.8438149392604828,0.5,0.5,1.0,0.6666666666666666
ControlloVisiteBeniCulturali,0.7968077858289083,1.0,0.3333333333333333,0.6666666666666666,0.4444444444444444
IDBConvenzione,0.785861536860466,1.0,0.125,0.3333333333333333,0.18181818181818182
BeanConvenzione,0.8027685284614563,1.0,1.0,0.3333333333333333,0.5
DBConvenzione,0.7692009011904398,0,0,0,0
DBPuntoDiRistoro,0.8721441030502319,0,0,0,0
GestioneAdvertisementAgenzia,0.8420318841934205,1.0,0.6,0.5,0.5454545454545454
SitoTableModel,nan,0,0,0,0
DBBanner,0.8627606704831123,0.4444444444444444,0.375,0.75,0.5
DBNews,0.8045449342046466,0,0,0,0
IDBOperatorePuntoDiRistoro,0.7881707787513733,0,0,0,0
SchedaPR,0.8260774314403534,0,0,0,0
Banner,0.8662464448383876,0.9166666666666666,0.42857142857142855,1.0,0.6
GestioneBeniCulturaliAgenzia,0.793587863445282,1.0,1.0,0.6,0.7499999999999999
IDBPuntoDiRistoro,0.8756808042526245,0.5,0.5,0.5,0.5
IGestioneBeniCulturaliComune,0.7919456859429678,1.0,0.16666666666666666,0.2,0.1818181818181818
BeanPuntoDiRistoro,0.8322910368442535,0,0,0,0
DBBeneCulturale,0.8143499419093132,0.8541666666666666,0.5,1.0,0.6666666666666666
IDBBeneCulturale,0.8023557066917419,0.25,0.1111111111111111,1.0,0.19999999999999998
OperatoreAgenzia,0.8120642304420471,0,0,0,0
IGestionePuntiDiRistoroComune,0.7991870939731598,0.5,0.5,0.16666666666666666,0.25
GestionePuntiDiRistoroComune,0.7715901255607605,1.0,0.2,0.14285714285714285,0.16666666666666666
IGestioneAdvertisementAgenzia,0.83016237616539,1.0,0.5,0.16666666666666666,0.25
BeanPreferenzaDiRicerca,0.81278195977211,0,0,0,0
BeanVisitaBC,0.7861848846077919,0.2,0.125,0.5,0.2
IGestioneBeniCulturaliAgenzia,0.8838064968585968,1.0,1.0,0.5,0.6666666666666666
IGestioneAdvertisementPuntoDiRistoro,0.8061639666557312,0,0,0,0
BeanVisitaPR,0.8213823338349661,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.2222222222222222
ControlloDati,0.7805352956056595,0.6388888888888888,0.75,0.16666666666666666,0.27272727272727276
BeanBeneCulturale,0.8250457644462585,1.0,1.0,0.16666666666666666,0.2857142857142857
BeanOperatorePuntoDiRistoro,0.831499457359314,0.5,0.5,1.0,0.6666666666666666
IGestionePuntiDiRistoroAgenzia,0.8604810237884521,1.0,0.5,0.16666666666666666,0.25
DBOperatoreAgenzia,0.7843518778681755,1.0,0.125,0.5,0.2
DBOperatorePuntoDiRistoro,0.776441650731223,0,0,0,0
IDBVisitaPR,0.8699599504470825,1.0,1.0,0.6666666666666666,0.8
BeanOperatoreAgenzia,0.8475790321826935,0,0,0,0
DBPreferenzeDiRicerca,0.8069259524345398,0,0,0,0
SchedaBC,0.8542403280735016,0,0,0,0
BeniCulturali,0.8687819540500641,1.0,1.0,0.4,0.5714285714285715
DBVisitaBC,0.8606904447078705,0,0,0,0
DBVisitaPR,0.8466421067714691,0,0,0,0
GestioneAdvertisementPuntoDiRistoro,0.7681676864624023,0,0,0,0
IDBOperatoreAgenzia,0.837399959564209,1.0,0.5,1.0,0.6666666666666666
IRicerca,0.813488095998764,1.0,1.0,0.3333333333333333,0.5
IAutenticazione,0.8103196819623312,1.0,0.16666666666666666,0.5,0.25
GestioneBeniCulturaliComune,0.8508114814758301,0,0,0,0
IDBVisitaBC,0.8701493740081787,0,0,0,0
Autenticazione,0.7810871079564095,0,0,0,0
TuristiTableModel,0.8963649570941925,0,0,0,0
DBTurista,0.885583221912384,0,0,0,0
IDBPreferenzeDiRicerca,0.832667350769043,0.5,0.5,1.0,0.6666666666666666
BeanTurista,0.8960978090763092,1.0,1.0,0.2857142857142857,0.4444444444444445
GestioneTuristaComune,0.9168729782104492,1.0,1.0,0.3333333333333333,0.5
GestioneTuristaClient,0.894199788570404,0.3333333333333333,0.3333333333333333,0.25,0.28571428571428575
IGestioneTuristaClient,0.889391819636027,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.2222222222222222
IDBTurista,0.8970055282115936,1.0,1.0,0.2857142857142857,0.4444444444444445
IGestioneTuristiAgenzia,0.8920609652996063,1.0,1.0,0.4,0.5714285714285715
GestioneTuristiAgenzia,0.8946551084518433,0.5,0.5,0.25,0.3333333333333333
Turisti,0.8837011754512787,0,0,0,0
